Gene.name	geneSymbol	Chromosome.scaffold.name	Gene.start..bp.	Gene.end..bp.	Strand	Gene.type	Gene.description	logCPM	adjP_gonad	adjP_brain	FB_MB	FB_O	FB_T	MB_O	MB_T	O_T
E2F1	ENSCJPG00005020685	20	1934697	1937381	1	protein_coding	E2F transcription factor 1 [Source:NCBI gene;Acc:107322866]	8.954927481	3.13e-06	1	0.598415114	4.31e-37	1.17e-44	9.08e-32	4.23e-39	0.077526004
E2F3	ENSCJPG00005017937	2	69350047	69388324	1	protein_coding	E2F transcription factor 3 [Source:NCBI gene;Acc:107309724]	6.479790882	0.004110271	1	1	9.18e-05	0.467133144	0.00054628	0.216201969	1.94e-06
EAF2	ENSCJPG00005021149	7	20650622	20662191	-1	protein_coding	ELL associated factor 2 [Source:NCBI gene;Acc:107316826]	8.083378438	0.00665699	1	1	0.002870944	0.949055598	0.000104721	0.391170494	0.003168324
ECI2	ENSCJPG00005016830	2	63536679	63559067	-1	protein_coding	enoyl-CoA delta isomerase 2 [Source:NCBI gene;Acc:107309611]	10.22451898	1.02e-09	1	1	0.432863296	2.9e-06	0.067488026	0.000274004	2.73e-08
EDNRB	ENSCJPG00005019471	1	138019880	138033627	1	protein_coding	endothelin receptor type B [Source:NCBI gene;Acc:107308043]	8.315736862	6.15e-05	1	1	0.042071914	5.26e-06	0.025678554	2.12e-06	0.016289192
EFHD2	ENSCJPG00005001196	21	4293675	4295989	-1	protein_coding	EF-hand domain family member D2 [Source:NCBI gene;Acc:107323424]	5.163881736	0.805588698	1	1	1.37e-36	2.08e-40	6.95e-35	1.01e-38	0.351861081
EFNA2	ENSCJPG00005010668	28	2161209	2190022	1	protein_coding	ephrin A2 [Source:NCBI gene;Acc:107325474]	4.26350092	0.122638775	1	0.80444662	4.56e-07	2.43e-15	1.26e-10	2.15e-20	0.002218964
EFNA5	ENSCJPG00005009653	Z	42742893	42947007	1	protein_coding	ephrin A5 [Source:NCBI gene;Acc:107306363]	5.682538304	0.655056078	1	1	0.513566268	2.22e-12	0.868739318	1.78e-15	1.24e-14
EGFR	ENSCJPG00005000163	2	73824483	73968097	1	protein_coding	epidermal growth factor receptor [Source:NCBI gene;Acc:107309802]	8.808721132	0.001765649	1	1	1.52e-14	0.000734731	2.34e-14	0.00102096	1.14e-05
EGR1	ENSCJPG00005020865	13	9620	12483	-1	protein_coding	early growth response 1 [Source:NCBI gene;Acc:107320057]	10.12440907	1.03e-13	1	0.742613392	0.143219823	3.72e-40	0.001544133	6.58e-47	3.92e-33
EGR2	ENSCJPG00005015880	6	7131136	7140865	-1	protein_coding	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	5.733265159	0.062576196	1	0.684868448	0.056989689	1.93e-09	0.000125563	6.04e-15	2.61e-05
EGR3	ENSCJPG00005015125	22	2511706	2512740	1	protein_coding	early growth response 3 [Source:NCBI gene;Acc:107323716]	8.055720447	2.13e-28	1	0.981619038	1.16e-16	0.253626767	9.59e-22	0.980175935	7.21e-22
EGR4	ENSCJPG00005007745	4	81242439	81244124	1	protein_coding	early growth response 4 [Source:NCBI gene;Acc:107314126]	4.493238	0.814383668	1	1	4.88e-20	3.01e-25	4.13e-23	4.23e-28	0.181947432
EHBP1	ENSCJPG00005011795	3	2099440	2283665	-1	protein_coding	EH domain binding protein 1 [Source:NCBI gene;Acc:107310697]	11.20296317	4.9e-05	1	1	0.002246687	0.679813921	0.000365131	1	0.00032911
EHF	ENSCJPG00005015419	5	6057430	6093577	-1	protein_coding	ETS homologous factor [Source:NCBI gene;Acc:107314404]	8.08428374	6.27e-11	1	1	5.8e-48	8e-07	2.87e-54	1.15e-09	2.86e-27
EI24	ENSCJPG00005005702	24	307905	311070	-1	protein_coding	EI24 autophagy associated transmembrane protein [Source:NCBI gene;Acc:107324225]	10.87320495	0.027373633	1	1	0.002576826	0.009236088	0.012641482	0.037682462	0.699072871
EIF1	ENSCJPG00005004600	27	4279882	4281153	1	protein_coding	eukaryotic translation initiation factor 1 [Source:NCBI gene;Acc:107325196]	11.53338976	8.31e-08	1	1	0.77866507	0.242171335	0.743968663	0.220977409	0.404184961
EIF3E	ENSCJPG00005005119	2	119166007	119185872	-1	protein_coding	eukaryotic translation initiation factor 3 subunit E [Source:NCBI gene;Acc:107310444]	12.80789052	0.896772342	1	1	2.47e-06	0.000837181	3.27e-06	0.001051917	0.182798416
EIF3F	ENSCJPG00005016575	6	13753558	13758445	-1	protein_coding	eukaryotic translation initiation factor 3 subunit F [Source:NCBI gene;Acc:107315800]	10.76130536	0.010042187	1	1	3.84e-05	0.266145424	0.000279534	0.515004514	0.003238764
EIF3H	ENSCJPG00005005287	2	122005017	122080034	-1	protein_coding	eukaryotic translation initiation factor 3 subunit H [Source:NCBI gene;Acc:107310507]	11.82939257	0.781522886	1	1	0.084234308	0.758294305	0.099456414	0.838976624	0.153484232
EIF3I	ENSCJPG00005000616	23	4527346	4530539	-1	protein_coding	eukaryotic translation initiation factor 3 subunit I [Source:NCBI gene;Acc:107323865]	11.65084754	0.051981919	1	1	0.000543406	0.444120033	0.000274759	0.354371136	0.007954995
EIF3M	ENSCJPG00005015362	5	4351600	4364638	-1	protein_coding	eukaryotic translation initiation factor 3 subunit M [Source:NCBI gene;Acc:107314355]	11.9431609	0.746818424	1	1	1.09e-06	0.004031055	8.41e-07	0.003470258	0.049617514
ELF3	ENSCJPG00005006825	26	692304	696347	1	protein_coding	E74 like ETS transcription factor 3 [Source:NCBI gene;Acc:107324636]	5.18218228	8.29e-08	1	1	6.31e-16	0.775997659	4.5e-18	0.685271589	2.37e-15
ELF5	ENSCJPG00005015420	5	6120245	6133816	1	protein_coding	E74 like ETS transcription factor 5 [Source:NCBI gene;Acc:107314409]	3.538312464	4.69e-07	1	1	1	1.54e-05	1	3.28e-07	3.95e-07
ELP2	ENSCJPG00005006969	2	79611450	79642602	-1	protein_coding	elongator acetyltransferase complex subunit 2 [Source:NCBI gene;Acc:107309974]	10.83552183	2.74e-29	1	1	0.047999762	5.63e-12	0.015885284	3.08e-13	1.09e-06
EMC2	ENSCJPG00005005138	2	119257775	119291203	1	protein_coding	ER membrane protein complex subunit 2 [Source:NCBI gene;Acc:107310442]	8.995518373	0.003922636	1	1	0.141138351	8.48e-07	0.247158589	4.22e-06	0.000904614
EMC8	ENSCJPG00005014748	11	15679621	15687198	1	protein_coding	ER membrane protein complex subunit 8 [Source:NCBI gene;Acc:107319429]	9.35907191	9.88e-10	1	1	0.159829024	0.26890763	0.177007832	0.301787217	0.76824064
EMID1	ENSCJPG00005015653	15	9981209	9989428	-1	protein_coding	EMI domain containing 1 [Source:NCBI gene;Acc:107321520]	5.791562724	7.43e-12	1	0.981317456	0.056458387	9.54e-24	0.001745116	2.74e-28	8.2e-17
EMP1	ENSCJPG00005008520	1	44019017	44032456	1	protein_coding	epithelial membrane protein 1 [Source:NCBI gene;Acc:107312436]	7.567352633	3.11e-37	1	0.026356647	2.45e-08	5.6e-09	1.45e-19	0.007723266	2.5e-28
EMP2	ENSCJPG00005016050	14	8770868	8774643	1	protein_coding	epithelial membrane protein 2 [Source:NCBI gene;Acc:107320858]	7.870338462	8.03e-10	1	1	5.14e-05	2.29e-07	2.97e-07	2.6e-05	1.46e-19
EMX1	ENSCJPG00005007896	4	81405314	81412466	-1	protein_coding	homeobox protein EMX1-like [Source:NCBI gene;Acc:107314117]	2.214259339	0.000728568	1	0.841024144	1.11e-34	5.46e-23	2.74e-41	7.75e-29	0.000430041
EMX2	ENSCJPG00005020121	6	26086298	26092129	1	protein_coding	empty spiracles homeobox 2 [Source:NCBI gene;Acc:107316204]	8.823261037	3.13e-90	1	0.37298122	2.82e-22	1.79e-15	4.38e-15	6.7e-24	9.59e-57
ENPP7	ENSCJPG00005021186	18	4735334	4736658	1	protein_coding	ectonucleotide pyrophosphatase/phosphodiesterase 7 [Source:HGNC Symbol;Acc:HGNC:23764]	3.49413284	0.067335472	1	1	0.947486917	0.471677699	0.503938644	1	0.514429994
EOMES	ENSCJPG00005012816	2	35498755	35502147	-1	protein_coding	eomesodermin [Source:NCBI gene;Acc:107309319]	9.670950185	6e-92	1	1	7.16e-09	1.1e-18	3.23e-09	3.47e-20	0.000205863
EP400	ENSCJPG00005019237	15	2114315	2155307	-1	protein_coding	E1A binding protein p400 [Source:NCBI gene;Acc:107321080]	12.28512212	0.363328449	1	1	4.86e-08	0.003354327	2.84e-10	0.000272686	0.008110058
EPAS1	ENSCJPG00005010157	3	23668748	23778486	1	protein_coding	endothelial PAS domain protein 1 [Source:NCBI gene;Acc:107311161]	10.39213546	0.536934909	1	1	0.029927166	0.000826637	0.01295137	0.000269268	0.306105468
EPB42	ENSCJPG00005002907	20	5919458	5926498	1	protein_coding	erythrocyte membrane protein band 4.2-like [Source:NCBI gene;Acc:107322928]	7.200322339	0.834029459	1	0.394385444	0.27670054	7.42e-06	0.001710294	1.85e-10	0.000493527
EPHA7	ENSCJPG00005002255	3	67307987	67497511	1	protein_coding	EPH receptor A7 [Source:NCBI gene;Acc:107311943]	6.10358023	0.607207529	1	1	8.91e-07	1.37e-07	1.49e-08	2.65e-09	0.702002648
EPHB3	ENSCJPG00005013767	9	13979279	13989915	-1	protein_coding	EPH receptor B3 [Source:NCBI gene;Acc:107318255]	7.738624815	0.000609868	1	0.742613392	0.017517766	4.54e-05	0.400031422	1.52e-08	5.82e-11
EPHX4	ENSCJPG00005008202	8	12371618	12386224	-1	protein_coding	epoxide hydrolase 4 [Source:NCBI gene;Acc:107317556]	8.018097145	4.38e-17	1	1	0.066580471	0.511928449	0.168071145	0.260690406	0.008162816
EPYC	ENSCJPG00005004890	1	39985558	40003934	-1	protein_coding	epiphycan [Source:NCBI gene;Acc:107311464]	3.398892745	0.000970105	1	1	0.666515078	0.075688091	0.921833361	0.006700342	0.009644422
ERBB4	ENSCJPG00005014005	7	7033462	7514379	-1	protein_coding	erb-b2 receptor tyrosine kinase 4 [Source:NCBI gene;Acc:107316482]	9.422773458	7.16e-25	1	0.978139846	0.11784976	0.397468956	0.0045499	0.862948173	0.01012774
EREG	ENSCJPG00005009968	4	39752926	39761762	1	protein_coding	epiregulin [Source:NCBI gene;Acc:107313520]	7.294203173	1.99e-23	1	1	2.57e-38	0.853584729	1.89e-38	0.828879226	7.37e-38
ERH	ENSCJPG00005014991	5	25154241	25160397	1	protein_coding	ERH mRNA splicing and mitosis factor [Source:NCBI gene;Acc:107314913]	10.79876556	3.98e-17	1	1	0.190831922	8.44e-06	0.195854465	9.69e-06	0.002692568
ERI3	ENSCJPG00005009729	8	18096785	18189572	-1	protein_coding	ERI1 exoribonuclease family member 3 [Source:NCBI gene;Acc:107317475]	8.69145238	0.002812976	1	1	0.003776333	4.44e-15	0.005927073	1.25e-14	5.61e-07
ERP27	ENSCJPG00005008388	1	43693063	43706990	1	protein_coding	endoplasmic reticulum protein 27 [Source:HGNC Symbol;Acc:HGNC:26495]	3.34630668	0.515403894	1	1	0.031516376	0.848020251	0.049833909	0.95498024	0.043593372
ERP44	ENSCJPG00005007061	2	80405520	80444719	1	protein_coding	endoplasmic reticulum protein 44 [Source:NCBI gene;Acc:107309921]	10.95438106	2.49e-05	1	1	0.032967224	0.030686191	0.020800566	0.019778729	1
ESM1	ENSCJPG00005001058	Z	18192884	18199561	-1	protein_coding	endothelial cell specific molecule 1 [Source:NCBI gene;Acc:107306004]	3.597663472	0.002092923	1	1	4.47e-05	0.742254859	6.03e-07	0.821254682	6.51e-06
ESPN	ENSCJPG00005007413	21	480731	492113	-1	protein_coding	espin [Source:NCBI gene;Acc:107323436]	5.610279281	0.063851304	1	0.180854075	1.14e-08	5.54e-07	0.001380923	0.011785877	0.527709653
ESRP1	ENSCJPG00005000569	2	114309781	114339523	1	protein_coding	epithelial splicing regulatory protein 1 [Source:NCBI gene;Acc:107310395]	9.587749644	1.95e-19	1	1	3.43e-80	9.91e-42	9.36e-81	1.07e-41	1.53e-18
ETS2	ENSCJPG00005007967	1	97057366	97072245	1	protein_coding	ETS proto-oncogene 2, transcription factor [Source:NCBI gene;Acc:107323461]	10.01602407	5.12e-33	1	1	0.218086226	2.13e-18	0.017237264	5.7e-15	2.14e-23
ETV6	ENSCJPG00005016195	1	65715372	65836219	1	protein_coding	ETS variant transcription factor 6 [Source:NCBI gene;Acc:107317742]	9.119830196	0.072650113	1	1	1.4e-05	6.57e-05	4.98e-06	2.57e-05	0.734508513
EVL	ENSCJPG00005002560	5	43968391	44085757	1	protein_coding	Enah/Vasp-like [Source:NCBI gene;Acc:107315307]	10.86590017	0.021625135	1	1	0.839887243	0.925872788	0.703157106	0.994196921	0.717225119
EVX2	ENSCJPG00005017735	7	14552402	14555320	1	protein_coding	even-skipped homeobox 2 [Source:NCBI gene;Acc:107316642]	3.262434373	0.070562679	1	1	0.847388747	4.1e-05	0.345696328	0.000190662	5.57e-06
EXOC1	ENSCJPG00005010673	4	58585661	58606398	-1	protein_coding	exocyst complex component 1 [Source:NCBI gene;Acc:107313738]	10.19689976	0.001508891	1	1	5.29e-06	0.065063094	6.25e-07	0.04457381	0.002067471
EXOC3	ENSCJPG00005007037	2	80088191	80102962	1	protein_coding	exocyst complex component 3 [Source:NCBI gene;Acc:107309968]	10.11981279	0.048305088	1	1	0.201663393	0.090684751	0.158248337	0.070085563	0.750413354
EYA1	ENSCJPG00005011706	2	105933532	106087465	-1	protein_coding	EYA transcriptional coactivator and phosphatase 1 [Source:NCBI gene;Acc:107310265]	7.113414307	7.5e-22	1	1	2.51e-08	1.88e-10	4.95e-10	2.59e-09	1.48e-29
F13B	ENSCJPG00005021126	8	2547191	2553988	1	protein_coding	coagulation factor XIII B chain-like [Source:NCBI gene;Acc:107317155]	5.073902104	4.78e-06	1	1	0.005162034	0.000425275	0.005155813	9.74e-05	3.77e-10
FABP4	ENSCJPG00005011832	2	109983305	109987330	-1	protein_coding	fatty acid-binding protein, adipocyte-like [Source:NCBI gene;Acc:107310340]	8.966291241	4.32e-29	1	1	1.07e-67	0.047614106	2.69e-68	0.225944525	4.11e-60
FAM3B	ENSCJPG00005008650	1	98119530	98129892	1	protein_coding	FAM3 metabolism regulating signaling molecule B [Source:NCBI gene;Acc:107323631]	6.801647286	3.57e-05	0.742783769	0.29548128	5.23e-25	1.65e-35	1.87e-20	8.86e-31	0.006457819
FASTK	ENSCJPG00005007008	2	261303	272829	1	protein_coding	Fas activated serine/threonine kinase [Source:NCBI gene;Acc:107308708]	10.37926344	0.271167253	1	1	0.410998286	0.912488717	0.111077047	0.410972252	0.464448831
FAT2	ENSCJPG00005007006	13	5073336	5112967	-1	protein_coding	FAT atypical cadherin 2 [Source:NCBI gene;Acc:107320201]	8.084196412	2.42e-13	1	0.000242123	9.23e-34	0.00035347	3.37e-13	0.048357068	8.05e-22
FAT4	ENSCJPG00005001935	4	46916531	47045270	-1	protein_coding	FAT atypical cadherin 4 [Source:NCBI gene;Acc:107313558]	8.957100055	2.23e-06	1	1	0.098355827	0.091295947	0.018011728	0.017309089	1
FBLN1	ENSCJPG00005016178	1	64808242	64888592	1	protein_coding	fibulin 1 [Source:NCBI gene;Acc:107317610]	10.55055698	1.24e-13	1	0.995739132	2.77e-24	0.456969107	4.33e-30	0.055134655	5.43e-22
FBLN2	ENSCJPG00005012884	12	3927502	4018251	1	protein_coding	fibulin 2 [Source:NCBI gene;Acc:107319716]	10.20098222	0.00011283	1	1	0.009031896	0.107818925	0.000228276	0.010527446	0.318949795
FETUB	ENSCJPG00005013785	9	14159230	14166620	1	protein_coding	fetuin B [Source:NCBI gene;Acc:107318298]	3.199128432	0.03136784	1	1	0.450526882	0.146784888	0.717047334	0.276716579	0.514432204
FEZF1	ENSCJPG00005009701	1	19510779	19512947	-1	protein_coding	FEZ family zinc finger 1 [Source:NCBI gene;Acc:107308690]	5.551232674	0.726881216	0.7069651	0.113834716	2.09e-07	0.304643264	0.001424879	0.077295299	4.69e-06
FEZF2	ENSCJPG00005016825	12	10617019	10618969	-1	protein_coding	FEZ family zinc finger 2 [Source:NCBI gene;Acc:107319869]	5.160288339	3.85e-05	1	0.80444662	2.38e-06	7.75e-32	2.38e-10	2.1e-38	3.15e-15
FGD5	ENSCJPG00005020848	12	17105565	17186691	-1	protein_coding	FYVE, RhoGEF and PH domain containing 5 [Source:NCBI gene;Acc:107319918]	10.29660856	1.3e-46	1	1	2.87e-11	0.040348766	1.52e-11	0.047973137	6.52e-18
FGF1	ENSCJPG00005020897	13	967098	983067	1	protein_coding	fibroblast growth factor 1 [Source:NCBI gene;Acc:107320055]	4.966747958	1.04e-09	1	1	7.05e-06	8.28e-48	3.69e-07	1.26e-50	2.23e-29
FGF10	ENSCJPG00005011004	Z	15666627	15724881	-1	protein_coding	fibroblast growth factor 10 [Source:NCBI gene;Acc:107305970]	6.180709921	0.067518003	1	1	0.593073195	0.026719951	0.745708411	0.040158167	0.102882678
FGF12	ENSCJPG00005013559	9	11554843	11669119	1	protein_coding	fibroblast growth factor 12 [Source:NCBI gene;Acc:107318196]	7.677422662	3.55e-23	1	1	5.37e-20	7.49e-64	7.84e-20	1.39e-63	1.71e-24
FGF16	ENSCJPG00005017046	4	12112985	12121966	1	protein_coding	fibroblast growth factor 16 [Source:NCBI gene;Acc:107312883]	6.269986325	0.086389997	1	0.918041593	3.22e-13	0.000223944	8.32e-10	0.016177226	0.00024942
FGF18	ENSCJPG00005011359	13	13589034	13650463	1	protein_coding	fibroblast growth factor 18 [Source:NCBI gene;Acc:107320505]	4.016622953	0.004169109	1	1	4.6e-07	1.75e-22	0.000174813	2.94e-18	1.23e-07
FGF20	ENSCJPG00005010581	4	57045963	57049884	1	protein_coding	fibroblast growth factor 20 [Source:NCBI gene;Acc:107313688]	8.259513677	1.18e-47	1	1	6.29e-55	0.188402978	4.82e-59	0.08825852	1.09e-49
FGF23	ENSCJPG00005016223	1	67145053	67151954	1	protein_coding	fibroblast growth factor 23 [Source:NCBI gene;Acc:107317989]	5.855805027	0.161377186	1	1	3.28e-17	1.02e-16	2.47e-21	1.1e-20	0.895067255
FGF7	ENSCJPG00005020071	10	9344760	9371547	1	protein_coding	fibroblast growth factor 7 [Source:NCBI gene;Acc:107318735]	3.746859876	0.00248297	0.914220102	0.154059981	1.41e-10	0.194499047	1.21e-05	0.254175193	1.23e-07
FGFR4	ENSCJPG00005011132	13	12075723	12080478	-1	protein_coding	fibroblast growth factor receptor 4 [Source:NCBI gene;Acc:107320486]	6.913612366	0.002611649	1	0.958496978	0.431812006	0.231620986	0.033597112	0.011241394	0.686213037
FHOD3	ENSCJPG00005014871	2	47613242	47963104	-1	protein_coding	formin homology 2 domain containing 3 [Source:NCBI gene;Acc:107309471]	7.916224498	0.081580042	1	0.396791312	0.459351948	0.00254579	0.004437578	0.229847499	0.000127821
FIBIN	ENSCJPG00005015309	5	2864688	2865981	1	protein_coding	fin bud initiation factor homolog [Source:NCBI gene;Acc:107314303]	7.115359189	9.04e-09	1	1	0.491267291	9.17e-20	0.554568642	1.22e-20	8.16e-23
FIG4	ENSCJPG00005009400	3	60740670	60814505	-1	protein_coding	FIG4 phosphoinositide 5-phosphatase [Source:NCBI gene;Acc:107311844]	9.553605038	1.14e-12	1	1	0.310068301	0.047614106	0.309200873	0.043796822	0.001464147
FIGN	ENSCJPG00005015773	7	26054027	26144451	-1	protein_coding	fidgetin, microtubule severing factor [Source:NCBI gene;Acc:107316994]	7.448774189	0.000570541	1	1	2.77e-07	0.474775561	3.64e-09	0.145772457	1.11e-05
FKBP5	ENSCJPG00005002277	26	450575	460522	-1	protein_coding	FKBP prolyl isomerase 5 [Source:NCBI gene;Acc:107324603]	11.12011019	0.000182585	1	0.316533871	2.78e-06	0.50367168	7.73e-12	0.157513832	4.73e-08
FKBP6	ENSCJPG00005004250	19	196329	202681	-1	protein_coding	FKBP prolyl isomerase 6 [Source:NCBI gene;Acc:107322697]	8.997797691	0.000339413	1	0.841024144	1.51e-35	6.08e-20	2.03e-30	1.35e-15	3.88e-05
FKBP8	ENSCJPG00005011613	28	2930090	2938570	1	protein_coding	FKBP prolyl isomerase 8 [Source:NCBI gene;Acc:107325636]	9.799750747	0.157891639	1	1	0.066265518	0.839217798	0.05861543	0.870695285	0.03164214
FLI1	ENSCJPG00005006095	24	825635	894308	1	protein_coding	Fli-1 proto-oncogene, ETS transcription factor [Source:NCBI gene;Acc:107324254]	7.83797465	1.02e-32	1	1	1.55e-05	2.65e-11	3.28e-05	4.9e-12	6.97e-26
FLRT3	ENSCJPG00005011861	3	3262078	3264147	1	protein_coding	fibronectin leucine rich transmembrane protein 3 [Source:NCBI gene;Acc:107310770]	7.720968714	0.823258984	1	1	0.059711917	0.000302096	0.006433571	7.25e-06	0.106940912
FMNL2	ENSCJPG00005020511	7	30439610	30536556	-1	protein_coding	formin like 2 [Source:NCBI gene;Acc:107316973]	10.17043309	3.98e-24	1	1	0.876398083	2.25e-15	0.70889223	3.71e-16	1.1e-14
FMOD	ENSCJPG00005018957	26	4817755	4820644	-1	protein_coding	fibromodulin [Source:NCBI gene;Acc:107324925]	8.191495395	0.012698234	1	0.152301588	2.82e-05	5.04e-06	0.138867011	7.72e-13	1.24e-17
FNTA	ENSCJPG00005012370	Z	47740606	47749422	-1	protein_coding	protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha-like [Source:NCBI gene;Acc:107306423]	9.888994258	4.08e-05	0.583169049	0.65563558	0.031087729	0.13568689	0.612353898	0.001231663	0.000121987
FOPNL	ENSCJPG00005015232	14	7456187	7460257	-1	protein_coding	FGFR1OP N-terminal like [Source:NCBI gene;Acc:107320626]	9.254793325	1.53e-06	1	1	9.14e-06	2.86e-09	3.82e-05	1.79e-08	0.156978589
FOS	ENSCJPG00005019250	5	34668686	34670448	1	protein_coding	Fos proto-oncogene, AP-1 transcription factor subunit [Source:NCBI gene;Acc:107315165]	8.507953174	2.37e-14	1	0.87414302	0.539119149	5.13e-32	0.04770706	1.1e-37	8.16e-29
FOXA1	ENSCJPG00005019083	5	33708019	33711548	-1	protein_coding	forkhead box A1 [Source:NCBI gene;Acc:107315065]	4.147642459	0.64591612	0.527558626	0.419682346	5.54e-05	7.48e-08	0.011530297	3.14e-05	0.111435161
FOXB2	ENSCJPG00005007899	Z	33814836	33819492	1	protein_coding	forkhead box B2 [Source:HGNC Symbol;Acc:HGNC:23315]	2.180971519	0.83703641	1	0.535101707	0.056702277	1	0.82935633	0.101874874	0.067437537
FOXC1	ENSCJPG00005015623	2	61608184	61609743	-1	protein_coding	forkhead box C1 [Source:NCBI gene;Acc:107309579]	4.390230183	0.17435057	1	1	0.631981236	0.645940746	0.918707799	0.358232511	0.285385652
FOXC2	ENSCJPG00005014738	11	15424484	15432627	-1	protein_coding	forkhead box C2 [Source:HGNC Symbol;Acc:HGNC:3801]	4.964204034	4.43e-05	1	0.662853855	0.457202655	2.98e-09	0.014999822	4.95e-14	2.27e-07
FOXD3	ENSCJPG00005014487	8	24990634	24991827	1	protein_coding	forkhead box D3 [Source:NCBI gene;Acc:107317743]	5.383660382	0.651734344	1	1	0.000216884	0.000594156	2.88e-05	0.000120899	0.766745811
FOXF1	ENSCJPG00005014740	11	15460621	15463326	-1	protein_coding	forkhead box F1 [Source:NCBI gene;Acc:107319398]	5.135504396	1.61e-09	1	1	0.318041718	0.000726155	0.390900935	0.000325222	4.86e-06
FOXG1	ENSCJPG00005017565	5	31593699	31595033	-1	protein_coding	forkhead box G1 [Source:NCBI gene;Acc:107315033]	2.899048204	0.703186915	1	0.794186379	4.26e-28	6.44e-33	4.76e-36	2.08e-40	0.170573376
FOXI1	ENSCJPG00005007270	13	6613204	6616764	-1	protein_coding	forkhead box I1 [Source:NCBI gene;Acc:107320236]	3.912565653	0.375348449	1	1	0.03322745	0.280054333	0.024106702	0.260888284	0.25242278
FOXK1	ENSCJPG00005000229	14	4021439	4062768	1	protein_coding	forkhead box K1 [Source:NCBI gene;Acc:107320684]	12.20869798	1.52e-87	1	1	0.00815236	2.72e-24	0.002705044	1.47e-25	7.28e-15
FOXL1	ENSCJPG00005014737	11	15422539	15426947	-1	protein_coding	forkhead box L1 [Source:HGNC Symbol;Acc:HGNC:3817]	1.809030895	0.971119314	1	0.666813222	0.295823201	0.604650857	0.658871469	0.304934095	0.580139422
FOXN1	ENSCJPG00005011479	19	4491376	4504112	1	protein_coding	forkhead box N1 [Source:NCBI gene;Acc:107322470]	3.108063426	9.52e-05	1	1	0.415350506	0.969288371	0.134326606	0.53542338	0.414327033
FOXN3	ENSCJPG00005000328	5	39385366	39545675	-1	protein_coding	forkhead box N3 [Source:NCBI gene;Acc:107315208]	9.22911556	1.31e-16	1	0.305681902	0.374829551	0.070518185	0.240976542	2.85e-05	0.003605842
FOXP2	ENSCJPG00005012184	1	23309791	23635686	-1	protein_coding	forkhead box P2 [Source:NCBI gene;Acc:107309202]	8.472823267	0.003269025	1	1	0.444694637	0.073834753	0.885091099	0.479474191	0.351861081
FOXP4	ENSCJPG00005018938	26	4602176	4623223	1	protein_coding	forkhead box P4 [Source:NCBI gene;Acc:107324913]	9.191211916	1.56e-30	1	1	0.321893032	0.033385234	0.154236004	0.053243617	0.001526021
FRMD3	ENSCJPG00005009385	Z	35983843	36109327	-1	protein_coding	FERM domain containing 3 [Source:NCBI gene;Acc:107306250]	10.27755843	2.19e-35	1	0.958496978	3.03e-14	4.26e-07	3.09e-18	0.000139493	1.83e-32
FRMD7	ENSCJPG00005016314	4	3371421	3379626	-1	protein_coding	FERM domain containing 7 [Source:NCBI gene;Acc:107312657]	3.010204	0.294786618	1	1	0.193768638	0.373636605	0.371306198	0.146184786	0.032572699
FRY	ENSCJPG00005020415	1	156203970	156325295	-1	protein_coding	FRY microtubule binding protein [Source:NCBI gene;Acc:107308259]	9.943114287	0.015428881	1	0.637422241	3.69e-12	5.1e-29	9.02e-08	7.6e-23	1.21e-06
FURIN	ENSCJPG00005000344	10	18248510	18259814	-1	protein_coding	furin, paired basic amino acid cleaving enzyme [Source:NCBI gene;Acc:107318976]	9.95123623	2.64e-05	1	1	3.12e-05	0.950057403	3.52e-05	0.920107513	1.65e-05
FUT4	ENSCJPG00005003953	1	166004052	166005599	-1	protein_coding	fucosyltransferase 4 [Source:NCBI gene;Acc:107308429]	5.818182835	0.012154966	1	1	4.4e-07	0.451323464	3.07e-06	0.244402225	3.34e-09
FUT7	ENSCJPG00005015784	17	132284	135208	1	protein_coding	fucosyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4018]	3.265875935	5.59e-07	1	1	0.421665955	2.65e-07	0.359330824	1.66e-07	1.69e-09
FUT9	ENSCJPG00005002246	3	66388099	66492342	-1	protein_coding	fucosyltransferase 9 [Source:HGNC Symbol;Acc:HGNC:4020]	2.82390628	4.27e-05	1	1	1	5.77e-08	0.343066164	6.32e-08	9.01e-09
FZD7	ENSCJPG00005015328	7	10162981	10164684	1	protein_coding	frizzled class receptor 7 [Source:NCBI gene;Acc:107316568]	7.287602725	7.92e-29	1	1	1	0.000690184	0.681378615	0.001969501	0.000503551
G2E3	ENSCJPG00005017559	5	31006693	31023295	-1	protein_coding	G2/M-phase specific E3 ubiquitin protein ligase [Source:NCBI gene;Acc:107315018]	9.906087008	0.007461368	1	0.661545841	0.14876731	0.717221953	1	0.046299257	0.057314243
G6PC	ENSCJPG00005005382	27	4685557	4688084	1	protein_coding	glucose-6-phosphatase catalytic subunit [Source:NCBI gene;Acc:107325302]	4.339763588	0.000549028	1	1	1.33e-07	0.987851436	5.42e-08	0.87511995	5.45e-08
GALE	ENSCJPG00005005105	23	4917833	4920041	-1	protein_coding	UDP-galactose-4-epimerase [Source:NCBI gene;Acc:107323881]	8.505466635	4.05e-20	1	1	1.59e-05	1.13e-05	6.02e-06	2.5e-05	1.46e-17
