Gene stable ID	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type
ENSGALG00000047372			4	85745342	85878554	-1	protein_coding
ENSGALG00000050147	gga-mir-7479-3	gga-mir-7479-3 [Source:miRBase;Acc:MI0024158]	Z	61042522	61042599	-1	miRNA
ENSGALG00000003985	TARSL2	threonyl-tRNA synthetase like 2 [Source:NCBI gene;Acc:415389]	10	6664537	6680129	1	protein_coding
ENSGALG00000047750	gga-mir-7479-1	gga-mir-7479-3 [Source:miRBase;Acc:MI0024158]	Z	61041393	61041470	-1	miRNA
ENSGALG00000052881		protocadherin beta-15-like [Source:NCBI gene;Acc:107049090]	13	709353	711527	-1	protein_coding
ENSGALG00000051417			2	331550	333087	-1	protein_coding
ENSGALG00000013981	TBPL1	TATA-box binding protein like 1 [Source:NCBI gene;Acc:395517]	3	56337729	56344309	-1	protein_coding
ENSGALG00000009147	NCSTN	nicastrin [Source:NCBI gene;Acc:426905]	25	2407633	2418982	1	protein_coding
ENSGALG00000048920		uncharacterized LOC107051510 [Source:NCBI gene;Acc:107051510]	1	144127757	144129229	-1	protein_coding
ENSGALG00000051362			13	690947	692083	-1	processed_pseudogene
ENSGALG00000050787	PORCN	porcupine O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:17652]	13	622226	630645	1	protein_coding
ENSGALG00000003717	MYO9B	myosin IXB [Source:NCBI gene;Acc:420135]	28	4263083	4303548	-1	protein_coding
ENSGALG00000006331	STAMBPL1	STAM binding protein like 1 [Source:NCBI gene;Acc:100859108]	6	20042684	20062218	1	protein_coding
ENSGALG00000052878	gga-mir-7479-1	gga-mir-7479-3 [Source:miRBase;Acc:MI0024158]	Z	61039495	61039572	-1	miRNA
ENSGALG00000015900	CD8A	Gallus gallus CD8a molecule (CD8A), mRNA. [Source:RefSeq mRNA;Acc:NM_001048080]	4	85741367	85743715	-1	protein_coding
ENSGALG00000054387			1	124185843	124187111	-1	protein_coding
ENSGALG00000048254			Z	61037123	61037181	-1	miRNA
ENSGALG00000032592	FAM237B	uncharacterized LOC107052576 [Source:NCBI gene;Acc:107052576]	2	21707589	21709626	-1	protein_coding
ENSGALG00000012117	STEAP3	STEAP3 metalloreductase [Source:NCBI gene;Acc:424275]	7	28404445	28422283	-1	protein_coding
ENSGALG00000011692	CDCA4	cell division cycle associated 4 [Source:NCBI gene;Acc:423500]	5	52134885	52142967	-1	protein_coding
ENSGALG00000049139	gga-mir-7479-1	gga-mir-7479-3 [Source:miRBase;Acc:MI0024158]	Z	61035526	61035603	-1	miRNA
ENSGALG00000008372	XRN2	5'-3' exoribonuclease 2 [Source:NCBI gene;Acc:421236]	3	3546571	3591719	-1	protein_coding
ENSGALG00000050599	gga-mir-7479-1	gga-mir-7479-3 [Source:miRBase;Acc:MI0024158]	Z	61031854	61031931	-1	miRNA
ENSGALG00000031841	SLX4	SLX4 structure-specific endonuclease subunit homolog [Source:NCBI gene;Acc:416665]	14	12836114	12860420	-1	protein_coding
ENSGALG00000039228	ZFP36L1	ZFP36 ring finger protein like 1 [Source:NCBI gene;Acc:101751828]	5	28553320	28555369	1	protein_coding
ENSGALG00000028821	GLIPR2	GLI pathogenesis related 2 [Source:NCBI gene;Acc:420999]	2	89742579	89767957	-1	protein_coding
ENSGALG00000051479	CDK5	cyclin dependent kinase 5 [Source:NCBI gene;Acc:100190948]	2	328651	332784	1	protein_coding
ENSGALG00000013980	SLC2A12	solute carrier family 2 member 12 [Source:NCBI gene;Acc:421696]	3	56302892	56331660	1	protein_coding
ENSGALG00000041512		uncharacterized LOC101748144 [Source:NCBI gene;Acc:101748144]	6	1237323	1244618	-1	protein_coding
ENSGALG00000041463		voltage dependent anion channel 3 [Source:NCBI gene;Acc:426793]	22	3047217	3056376	-1	protein_coding
ENSGALG00000025314	gga-mir-1617	gga-mir-1617 [Source:miRBase;Acc:MI0007346]	5	28533211	28533299	1	miRNA
ENSGALG00000009934	NUP107	nucleoporin 107 [Source:NCBI gene;Acc:101751988]	1	35367839	35393184	1	protein_coding
ENSGALG00000025946	MOB3C	MOB kinase activator 3C [Source:NCBI gene;Acc:424615]	8	22179851	22194222	-1	protein_coding
ENSGALG00000005385	ACTR8	ARP8 actin-related protein 8 homolog [Source:NCBI gene;Acc:415994]	12	7633818	7641257	-1	protein_coding
ENSGALG00000006302			6	20032197	20039312	1	protein_coding
ENSGALG00000047354	gga-mir-7479-3	gga-mir-7479-3 [Source:miRBase;Acc:MI0024158]	Z	61030223	61030300	-1	miRNA
ENSGALG00000047131	gga-mir-7479-3	gga-mir-7479-3 [Source:miRBase;Acc:MI0024158]	Z	61021326	61021403	-1	miRNA
ENSGALG00000016574	GEMIN8	gem nuclear organelle associated protein 8 [Source:NCBI gene;Acc:418631]	1	124157206	124192838	1	protein_coding
ENSGALG00000009026	CFAP69	cilia and flagella associated protein 69 [Source:NCBI gene;Acc:420542]	2	21682611	21706828	1	protein_coding
ENSGALG00000053035			14	12828516	12831315	-1	protein_coding
ENSGALG00000039461	TNFRSF1A	TNF receptor superfamily member 1A [Source:NCBI gene;Acc:418325]	1	80183729	80196654	1	protein_coding
ENSGALG00000054045	gga-mir-7479-1	gga-mir-7479-3 [Source:miRBase;Acc:MI0024158]	Z	61018885	61018962	-1	miRNA
ENSGALG00000045876			4	85740196	85784683	-1	protein_coding
ENSGALG00000028250	ANKRD22	ankyrin repeat domain 22 [Source:NCBI gene;Acc:771419]	6	20008951	20032260	-1	protein_coding
ENSGALG00000009017	STEAP2	STEAP2 metalloreductase [Source:NCBI gene;Acc:420541]	2	21667322	21673630	1	protein_coding
ENSGALG00000010896	TMEM161B	transmembrane protein 161B [Source:NCBI gene;Acc:426919]	Z	60803931	60830335	1	protein_coding
ENSGALG00000011690	CLBA1	chromosome 5 C14orf79 homolog [Source:NCBI gene;Acc:423498]	5	52105547	52113558	1	protein_coding
ENSGALG00000004897	GTSE1	G2 and S-phase expressed 1 [Source:NCBI gene;Acc:425204]	1	15836984	15848465	1	protein_coding
ENSGALG00000007638	HMOX2	heme oxygenase 2 [Source:NCBI gene;Acc:416663]	14	12818819	12827110	-1	protein_coding
ENSGALG00000005363	CHDH	choline dehydrogenase [Source:NCBI gene;Acc:415993]	12	7618908	7631523	-1	protein_coding
ENSGALG00000035835	NKX2-4	NK2 homeobox 4 [Source:NCBI gene;Acc:107052856]	3	3543643	3544746	1	protein_coding
ENSGALG00000050177			1	124121407	124122032	-1	protein_coding
ENSGALG00000009006		STEAP family member 1 [Source:NCBI gene;Acc:420540]	2	21641463	21650943	1	protein_coding
ENSGALG00000018346	gga-mir-9-2	gga-mir-9-2 [Source:miRBase;Acc:MI0001283]	Z	60673629	60673715	1	miRNA
ENSGALG00000053478	CDK20	cyclin dependent kinase 20 [Source:NCBI gene;Acc:101750873]	13	619657	632067	-1	protein_coding
ENSGALG00000048417	gga-mir-7478	gga-mir-7478 [Source:miRBase;Acc:MI0024151]	6	1216875	1216952	-1	miRNA
ENSGALG00000041454	DNMT3A	DNA methyltransferase 3 alpha [Source:NCBI gene;Acc:421991]	3	104568030	104584279	-1	protein_coding
ENSGALG00000027501	ANPEP	alanyl aminopeptidase, membrane [Source:NCBI gene;Acc:395667]	10	20435393	20443467	-1	protein_coding
ENSGALG00000016858	SLC10A2	solute carrier family 10 member 2 [Source:NCBI gene;Acc:428018]	1	144099552	144110941	1	protein_coding
ENSGALG00000036711	S100A11	S100 calcium binding protein A11 [Source:NCBI gene;Acc:396075]	25	2386866	2388673	1	protein_coding
ENSGALG00000047268	gga-mir-7478	gga-mir-7478 [Source:miRBase;Acc:MI0024151]	6	1104036	1104113	1	miRNA
ENSGALG00000042552	TJP1	tight junction protein 1 [Source:NCBI gene;Acc:415388]	10	6475758	6544834	-1	protein_coding
ENSGALG00000036869	NKX2-2	NK2 homeobox 2 [Source:NCBI gene;Acc:428549]	3	3523328	3524365	1	protein_coding
ENSGALG00000046746	gga-mir-7478	gga-mir-7478 [Source:miRBase;Acc:MI0024151]	6	1086507	1086584	-1	miRNA
ENSGALG00000008275		mesoderm posterior bHLH transcription factor 2 [Source:NCBI gene;Acc:100858087]	10	20433602	20434880	1	protein_coding
ENSGALG00000036502	CDIP1	cell death-inducing p53 target 1 [Source:NCBI gene;Acc:416662]	14	12807823	12817482	1	protein_coding
ENSGALG00000028860			2	21355282	21355462	1	misc_RNA
ENSGALG00000009004	ZNF804B	zinc finger protein 804B [Source:NCBI gene;Acc:420539]	2	21172333	21382361	1	protein_coding
ENSGALG00000023824		lipase member M-like 5 [Source:NCBI gene;Acc:428958]	6	19996152	20008824	1	protein_coding
ENSGALG00000011687		AHNAK nucleoprotein 2 [Source:NCBI gene;Acc:100859120]	5	52000607	52016763	-1	protein_coding
ENSGALG00000052476			4	85722927	85813859	-1	protein_coding
ENSGALG00000016571	GLRA2	glycine receptor alpha 2 [Source:NCBI gene;Acc:772019]	1	123760153	123886114	-1	protein_coding
ENSGALG00000039040	PAX1	paired box 1 [Source:NCBI gene;Acc:100859138]	3	3491748	3495862	-1	protein_coding
ENSGALG00000014463	ACTN2	actinin alpha 2 [Source:NCBI gene;Acc:396263]	3	37710303	37774495	-1	protein_coding
ENSGALG00000012113	C7H2ORF76	chromosome 7 open reading frame, human C2orf76 [Source:NCBI gene;Acc:424274]	7	28385668	28397361	1	protein_coding
ENSGALG00000026808	TMEM72	transmembrane protein 72 [Source:HGNC Symbol;Acc:HGNC:31658]	6	19964195	19969503	1	protein_coding
ENSGALG00000030889	FOXA2	forkhead box A2 [Source:NCBI gene;Acc:395539]	3	3366094	3369593	1	protein_coding
ENSGALG00000052490			3	3343995	3344051	1	miRNA
ENSGALG00000008997	STEAP4	STEAP4 metalloreductase [Source:NCBI gene;Acc:772063]	2	21007327	21026905	-1	protein_coding
ENSGALG00000016569	FANCB	Fanconi anemia complementation group B [Source:NCBI gene;Acc:418628]	1	123713870	123728313	1	protein_coding
ENSGALG00000035115		chromosome 16 open reading frame 96 [Source:NCBI gene;Acc:768955]	14	12803269	12809414	-1	protein_coding
ENSGALG00000013018	TPRKB	TP53RK binding protein [Source:NCBI gene;Acc:425906]	1	15825374	15829351	1	protein_coding
ENSGALG00000008362	SSTR4	somatostatin receptor 4 [Source:NCBI gene;Acc:428547]	3	3340865	3343007	-1	protein_coding
ENSGALG00000041346	CXCL12	C-X-C motif chemokine ligand 12 [Source:NCBI gene;Acc:395180]	6	19850341	19864037	-1	protein_coding
ENSGALG00000003944	FAM189A1	family with sequence similarity 189 member A1 [Source:NCBI gene;Acc:415387]	10	6348118	6409092	-1	protein_coding
ENSGALG00000012112	DBI	diazepam binding inhibitor, acyl-CoA binding protein [Source:NCBI gene;Acc:395263]	7	28381630	28385331	-1	protein_coding
ENSGALG00000008359	CD248	CD248 molecule [Source:NCBI gene;Acc:421234]	3	3329006	3331372	1	protein_coding
ENSGALG00000032036		CTS telomere maintenance complex component 1 [Source:NCBI gene;Acc:418324]	1	80165233	80181262	-1	protein_coding
ENSGALG00000014645	MEF2C	myocyte enhancer factor 2C [Source:NCBI gene;Acc:769007]	Z	60517700	60640680	1	protein_coding
ENSGALG00000011646	PLD4	phospholipase D family member 4 [Source:NCBI gene;Acc:423496]	5	51984130	51996689	1	protein_coding
ENSGALG00000040272	ALG10	ALG10, alpha-1,2-glucosyltransferase [Source:NCBI gene;Acc:426734]	1	15818747	15825318	-1	protein_coding
ENSGALG00000012111	TMEM37	transmembrane protein 37 [Source:NCBI gene;Acc:770956]	7	28370913	28374010	-1	protein_coding
ENSGALG00000053659		GDNF inducible zinc finger protein 1 [Source:NCBI gene;Acc:421233]	3	3292590	3299822	-1	protein_coding
ENSGALG00000007619	UBALD1	UBA like domain containing 1 [Source:NCBI gene;Acc:416661]	14	12796696	12802141	1	protein_coding
ENSGALG00000048572		T-cell surface glycoprotein CD8 alpha chain-like [Source:NCBI gene;Acc:771880]	4	85722927	85900720	-1	protein_coding
ENSGALG00000053640	GZF1	GDNF inducible zinc finger protein 1 [Source:NCBI gene;Acc:421233]	3	3283126	3292415	-1	protein_coding
ENSGALG00000014820	VTCN1	V-set domain containing T cell activation inhibitor 1 [Source:NCBI gene;Acc:101752024]	1	80157630	80163043	1	protein_coding
ENSGALG00000016568	MOSPD2	motile sperm domain containing 2 [Source:NCBI gene;Acc:418627]	1	123679401	123713845	-1	protein_coding
ENSGALG00000053021			5	51967656	51967704	-1	miRNA
ENSGALG00000006254	ERCC6	ERCC excision repair 6, chromatin remodeling factor [Source:NCBI gene;Acc:423785]	6	19565955	19609491	-1	protein_coding
ENSGALG00000013573	ALG2	ALG2, alpha-1,3/1,6-mannosyltransferase [Source:NCBI gene;Acc:420998]	2	89697618	89699292	1	protein_coding
ENSGALG00000001684	SEC14L1	SEC14 like lipid binding 1 [Source:NCBI gene;Acc:417350]	18	4078960	4116794	-1	protein_coding
ENSGALG00000026364	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1 [Source:NCBI gene;Acc:422727]	4	62776696	62791934	1	protein_coding
ENSGALG00000013575	IFI6	interferon alpha inducible protein 6 [Source:NCBI gene;Acc:403120]	2	89717661	89722211	1	protein_coding
ENSGALG00000043660		trichohyalin-like [Source:NCBI gene;Acc:101751678]	25	2370430	2376417	1	protein_coding
ENSGALG00000012106	SCTR	secretin receptor [Source:NCBI gene;Acc:770943]	7	28353282	28366950	1	protein_coding
ENSGALG00000014818	TRIM45	tripartite motif containing 45 [Source:NCBI gene;Acc:769776]	1	80132983	80149686	1	protein_coding
ENSGALG00000008985	SRI	sorcin [Source:NCBI gene;Acc:420538]	2	20983100	20992378	-1	protein_coding
ENSGALG00000008313	NAPB	NSF attachment protein beta [Source:NCBI gene;Acc:421231]	3	3276268	3283076	1	protein_coding
ENSGALG00000014648	CETN3	centrin 3 [Source:NCBI gene;Acc:427104]	Z	59940610	59957212	1	protein_coding
ENSGALG00000007025	CPNE8	copine 8 [Source:NCBI gene;Acc:417690]	1	15633800	15729892	1	protein_coding
ENSGALG00000052278			1	80116058	80116139	1	miRNA
ENSGALG00000049892			1	80114614	80114695	1	miRNA
ENSGALG00000006239			6	19551920	19556673	-1	protein_coding
ENSGALG00000050620			1	80111479	80111560	1	miRNA
ENSGALG00000016563	ASB9	ankyrin repeat and SOCS box containing 9 [Source:NCBI gene;Acc:418625]	1	123496180	123509692	1	protein_coding
ENSGALG00000011639		centrosomal protein 170B [Source:NCBI gene;Acc:423494]	5	51944497	51977507	1	protein_coding
ENSGALG00000003930	APBA2	amyloid beta precursor protein binding family A member 2 [Source:NCBI gene;Acc:415386]	10	6257701	6346419	1	protein_coding
ENSGALG00000052660			1	80108019	80108100	-1	miRNA
ENSGALG00000008269	ZC3H8	zinc finger CCCH-type containing 8 [Source:NCBI gene;Acc:421230]	3	3236158	3265532	1	protein_coding
ENSGALG00000014649	MBLAC2	metallo-beta-lactamase domain containing 2 [Source:NCBI gene;Acc:431565]	Z	59920983	59929566	1	protein_coding
ENSGALG00000014650			Z	59912198	59914465	-1	protein_coding
ENSGALG00000037492	MGRN1	mahogunin ring finger 1 [Source:NCBI gene;Acc:416660]	14	12746596	12794827	-1	protein_coding
ENSGALG00000012100	CFAP221	cilia and flagella associated protein 221 [Source:NCBI gene;Acc:424272]	7	28330072	28344049	-1	protein_coding
ENSGALG00000046358	FBLN7	fibulin 7 [Source:NCBI gene;Acc:421229]	3	3223813	3229644	1	protein_coding
ENSGALG00000045606		spindle and centriole associated protein 1 [Source:NCBI gene;Acc:418322]	1	80098303	80129957	1	protein_coding
ENSGALG00000026467	MESP1	mesoderm posterior bHLH transcription factor 1 [Source:NCBI gene;Acc:395252]	10	20429099	20430583	-1	protein_coding
ENSGALG00000006834	CPB1	carboxypeptidase B1 [Source:NCBI gene;Acc:424888]	9	12583262	12599587	1	protein_coding
ENSGALG00000041028	DPYSL5	dihydropyrimidinase-related protein 5-like [Source:NCBI gene;Acc:107053190]	3	104550333	104557734	-1	protein_coding
ENSGALG00000043971		UDP-galactose translocator-like [Source:NCBI gene;Acc:107050985]	13	613317	618879	-1	protein_coding
ENSGALG00000049807			1	143125846	143128275	1	protein_coding
ENSGALG00000014651	LYSMD3	LysM domain containing 3 [Source:NCBI gene;Acc:427106]	Z	59892416	59896505	1	protein_coding
ENSGALG00000043872		sucrase-isomaltase, intestinal-like [Source:NCBI gene;Acc:417691]	1	15584706	15614988	1	protein_coding
ENSGALG00000041565			5	51927665	51942266	1	protein_coding
ENSGALG00000043848			4	85720933	85726738	-1	protein_coding
ENSGALG00000003913	MCEE	methylmalonyl-CoA epimerase [Source:NCBI gene;Acc:415385]	10	6245695	6255517	1	protein_coding
ENSGALG00000012092	ESYT3	extended synaptotagmin 3 [Source:NCBI gene;Acc:424271]	7	28286840	28313799	-1	protein_coding
ENSGALG00000016562	ASB11	ankyrin repeat and SOCS box containing 11 [Source:NCBI gene;Acc:101749218]	1	123471156	123482949	1	protein_coding
ENSGALG00000046567		T-cell surface glycoprotein CD8 alpha chain-like [Source:NCBI gene;Acc:107053306]	4	85706905	85709302	-1	protein_coding
ENSGALG00000014464	MTR	5-methyltetrahydrofolate-homocysteine methyltransferase [Source:NCBI gene;Acc:422069]	3	37651044	37698782	-1	protein_coding
ENSGALG00000044327		T-cell surface glycoprotein CD8 alpha chain-like [Source:NCBI gene;Acc:771804]	4	85682070	85684250	-1	protein_coding
ENSGALG00000051385			5	51888663	51890054	1	pseudogene
ENSGALG00000030822	DRGX	dorsal root ganglia homeobox [Source:NCBI gene;Acc:771373]	6	19523159	19537670	-1	protein_coding
ENSGALG00000025174	gga-mir-1771	gga-mir-1771 [Source:miRBase;Acc:MI0007514]	5	51799321	51799406	-1	miRNA
ENSGALG00000016559	PIGA	phosphatidylinositol glycan anchor biosynthesis class A [Source:NCBI gene;Acc:418624]	1	123457973	123467284	1	protein_coding
ENSGALG00000012087	CEP70	centrosomal protein 70 [Source:NCBI gene;Acc:429044]	7	28275428	28285479	1	protein_coding
ENSGALG00000027353	C10orf71	chromosome 6 open reading frame, human C10orf71 [Source:NCBI gene;Acc:423784]	6	19504129	19508694	1	protein_coding
ENSGALG00000047885	gga-mir-135b	gga-mir-135b [Source:miRBase;Acc:MI0007390]	3	37545247	37545313	1	miRNA
ENSGALG00000039779	NUDT16L1	nudix hydrolase 16 like 1 [Source:NCBI gene;Acc:395557]	14	12743712	12746237	-1	protein_coding
ENSGALG00000014812	SIDT1	SID1 transmembrane family member 1 [Source:NCBI gene;Acc:418321]	1	80053840	80093005	-1	protein_coding
ENSGALG00000044755			4	85681134	85784648	-1	protein_coding
ENSGALG00000008257	MERTK	MER proto-oncogene, tyrosine kinase [Source:NCBI gene;Acc:395836]	3	3201470	3222450	1	protein_coding
ENSGALG00000006174	VSTM4	V-set and transmembrane domain containing 4 [Source:NCBI gene;Acc:423782]	6	19392946	19425288	-1	protein_coding
ENSGALG00000042322	NAA60	N-alpha-acetyltransferase 60, NatF catalytic subunit [Source:HGNC Symbol;Acc:HGNC:25875]	14	12733908	12739669	1	protein_coding
ENSGALG00000031560	USF3	upstream transcription factor family member 3 [Source:NCBI gene;Acc:418320]	1	80019464	80043397	1	protein_coding
ENSGALG00000003906	MPHOSPH10	M-phase phosphoprotein 10 [Source:NCBI gene;Acc:415384]	10	6237778	6318535	-1	protein_coding
ENSGALG00000048372			6	19360180	19373871	1	protein_coding
ENSGALG00000012082	FAIM	Fas apoptotic inhibitory molecule [Source:NCBI gene;Acc:424270]	7	28267680	28275742	-1	protein_coding
ENSGALG00000048822			3	3193235	3196439	1	protein_coding
ENSGALG00000038559	CD8A	CD8a molecule [Source:NCBI gene;Acc:403158]	4	85657238	85736578	-1	protein_coding
ENSGALG00000034380	C7orf26	chromosome 14 C7orf26 homolog [Source:NCBI gene;Acc:416658]	14	12719002	12725543	1	protein_coding
ENSGALG00000033889	NAA50	N(alpha)-acetyltransferase 50, NatE catalytic subunit [Source:NCBI gene;Acc:418319]	1	79997432	80017359	1	protein_coding
ENSGALG00000011620	AKT1	AKT serine/threonine kinase 1 [Source:NCBI gene;Acc:395928]	5	51789219	51852080	-1	protein_coding
ENSGALG00000050564			6	19358682	19386012	1	protein_coding
ENSGALG00000008976	ADAM22	ADAM metallopeptidase domain 22 [Source:NCBI gene;Acc:420537]	2	20850062	20974465	1	protein_coding
ENSGALG00000016558	VEGFD	vascular endothelial growth factor D [Source:NCBI gene;Acc:395255]	1	123415471	123448479	1	protein_coding
ENSGALG00000053919	LRRC18	leucine rich repeat containing 18 [Source:NCBI gene;Acc:101751830]	6	19348512	19355133	-1	protein_coding
ENSGALG00000011619	SIVA1	SIVA1 apoptosis inducing factor [Source:NCBI gene;Acc:423493]	5	51773814	51775775	1	protein_coding
ENSGALG00000017142	PSPC1	paraspeckle component 1 [Source:NCBI gene;Acc:418955]	1	180486091	180524977	1	protein_coding
ENSGALG00000045511	PARP9	poly(ADP-ribose) polymerase family member 9 [Source:NCBI gene;Acc:424269]	7	28261411	28270003	1	protein_coding
ENSGALG00000041066	DNASE1	deoxyribonuclease 1 [Source:NCBI gene;Acc:395725]	14	12712359	12718382	-1	protein_coding
ENSGALG00000044177	FAN1	FANCD2/FANCI-associated nuclease 1 [Source:NCBI gene;Acc:415383]	10	6221486	6238927	-1	protein_coding
ENSGALG00000011618	ADSS1	adenylosuccinate synthase like 1 [Source:NCBI gene;Acc:776127]	5	51739659	51762064	1	protein_coding
ENSGALG00000002499		zinc finger MYM-type containing 4 [Source:NCBI gene;Acc:419635]	23	4494059	4529122	-1	protein_coding
ENSGALG00000021552	RASL10A	RAS-like, family 10, member A [Source:NCBI gene;Acc:417349]	18	4067497	4068773	-1	protein_coding
ENSGALG00000053912			1	143003417	143004865	1	protein_coding
ENSGALG00000054103		uncharacterized LOC107050733 [Source:NCBI gene;Acc:107050733]	13	500024	506883	1	protein_coding
ENSGALG00000012075	DTX3L	deltex E3 ubiquitin ligase 3L [Source:NCBI gene;Acc:424267]	7	28256073	28261454	-1	protein_coding
ENSGALG00000033259	SRSF5A	serine/arginine-rich splicing factor 5a [Source:NCBI gene;Acc:423265]	5	28513728	28530404	1	protein_coding
ENSGALG00000045327			1	142939779	142941095	1	protein_coding
ENSGALG00000027316	CRNN	cornulin [Source:NCBI gene;Acc:431307]	25	2365500	2366777	1	protein_coding
ENSGALG00000003596	TRRAP	transformation/transcription domain associated protein [Source:NCBI gene;Acc:416440]	14	1723283	1795839	1	protein_coding
ENSGALG00000008381	TMEM237	transmembrane protein 237 [Source:NCBI gene;Acc:424084]	7	11505507	11516967	-1	protein_coding
ENSGALG00000000608	CDH1	cadherin 1 [Source:NCBI gene;Acc:415860]	11	18870452	18879210	1	protein_coding
ENSGALG00000053966		keratin-associated protein 10-4-like [Source:NCBI gene;Acc:101751279]	25	2350900	2354085	-1	protein_coding
ENSGALG00000013569	SEC61B	Sec61 translocon beta subunit [Source:NCBI gene;Acc:420997]	2	89693065	89697358	-1	protein_coding
ENSGALG00000048309		uncharacterized LOC107050476 [Source:NCBI gene;Acc:107050476]	1	142895982	142899302	-1	protein_coding
ENSGALG00000009455	MCMBP	minichromosome maintenance complex binding protein [Source:NCBI gene;Acc:423933]	6	31307241	31321417	-1	protein_coding
ENSGALG00000043421		zinc finger MYM-type containing 2 [Source:NCBI gene;Acc:418954]	1	180409378	180447674	-1	protein_coding
ENSGALG00000046313	DNASE1L2	deoxyribonuclease-1-like 2 [Source:NCBI gene;Acc:112533475]	14	12708735	12711732	-1	protein_coding
ENSGALG00000015815	RMND5A	required for meiotic nuclear division 5 homolog A [Source:NCBI gene;Acc:422920]	4	85631638	85652848	1	protein_coding
ENSGALG00000049308			5	51719243	51729815	1	protein_coding
ENSGALG00000013590		FSHD region gene 1 family member B, pseudogene [Source:NCBI gene;Acc:422726]	4	62763514	62772379	1	protein_coding
ENSGALG00000049532			1	142769789	142770952	1	protein_coding
ENSGALG00000003703	USE1	unconventional SNARE in the ER 1 [Source:NCBI gene;Acc:420134]	28	4258017	4262921	-1	protein_coding
ENSGALG00000017302	SLCO2B1	solute carrier organic anion transporter family member 2B1 [Source:NCBI gene;Acc:419051]	1	195701721	195741913	1	protein_coding
ENSGALG00000012072		poly(ADP-ribose) polymerase family member 14 [Source:NCBI gene;Acc:101747378]	7	28237978	28253588	-1	protein_coding
ENSGALG00000016557	BMX	BMX non-receptor tyrosine kinase [Source:NCBI gene;Acc:428003]	1	123334097	123360200	-1	protein_coding
ENSGALG00000006165			6	19271811	19318331	1	protein_coding
ENSGALG00000021627	IFI27L2	interferon, alpha-inducible protein 27-like 2 [Source:NCBI gene;Acc:403121]	23	4490448	4491440	1	protein_coding
ENSGALG00000005332	CACNA1D	calcium voltage-gated channel subunit alpha1 D [Source:NCBI gene;Acc:395895]	12	7450925	7616503	1	protein_coding
ENSGALG00000018300	gga-mir-133c	gga-mir-133c [Source:miRBase;Acc:MI0001255]	23	4489878	4489956	1	miRNA
ENSGALG00000003883	MTMR10	myotubularin related protein 10 [Source:NCBI gene;Acc:415382]	10	6184394	6221492	1	protein_coding
ENSGALG00000018299	gga-mir-1b	gga-mir-1b [Source:miRBase;Acc:MI0001254]	23	4489739	4489802	1	miRNA
ENSGALG00000007098	KIF21A	kinesin family member 21A [Source:NCBI gene;Acc:417692]	1	15477557	15560977	1	protein_coding
ENSGALG00000015809	RNF103	ring finger protein 103 [Source:NCBI gene;Acc:422919]	4	85608943	85626485	-1	protein_coding
ENSGALG00000054908	gga-mir-12248	gga-mir-12248 [Source:miRBase;Acc:MI0040712]	23	4488492	4488547	1	miRNA
ENSGALG00000027705			2	89590977	89591095	-1	misc_RNA
ENSGALG00000008254	ANAPC1	anaphase promoting complex subunit 1 [Source:NCBI gene;Acc:421228]	3	3158895	3193023	-1	protein_coding
ENSGALG00000031563	ECI1	enoyl-CoA delta isomerase 1 [Source:NCBI gene;Acc:416657]	14	12703654	12708714	1	protein_coding
ENSGALG00000054917			6	19233501	19236981	-1	protein_coding
ENSGALG00000018257	gga-mir-204-2	gga-mir-204-2 [Source:miRBase;Acc:MI0001225]	10	6140962	6141062	1	miRNA
ENSGALG00000017139		zinc finger MYM-type containing 2 [Source:NCBI gene;Acc:418954]	1	180355361	180392875	-1	protein_coding
ENSGALG00000025242	gga-mir-1574	gga-mir-1574 [Source:miRBase;Acc:MI0007300]	10	6140689	6140762	1	miRNA
ENSGALG00000016554	ACE2	angiotensin I converting enzyme 2 [Source:NCBI gene;Acc:418623]	1	123308765	123331190	1	protein_coding
ENSGALG00000026422		poly(ADP-ribose) polymerase family member 14 [Source:NCBI gene;Acc:101747378]	7	28217915	28235171	-1	protein_coding
ENSGALG00000043556		adhesion G protein-coupled receptor V1 [Source:NCBI gene;Acc:431566]	Z	59778403	59879799	-1	protein_coding
ENSGALG00000017137	GJA3	gap junction protein alpha 3 [Source:NCBI gene;Acc:428084]	1	180313130	180314665	1	protein_coding
ENSGALG00000029168		transmembrane protein 27 [Source:NCBI gene;Acc:418622]	1	123281269	123301148	1	protein_coding
ENSGALG00000020923	GNRHR	gonadotropin-releasing hormone receptor [Source:NCBI gene;Acc:427517]	10	20425798	20428453	-1	protein_coding
ENSGALG00000054721		keratin-associated protein 9-1-like [Source:NCBI gene;Acc:101751162]	25	2345130	2346915	-1	protein_coding
ENSGALG00000006137		Rho GTPase activating protein 22 [Source:NCBI gene;Acc:423779]	6	19118047	19156066	-1	protein_coding
ENSGALG00000015805		charged multivesicular body protein 3 [Source:NCBI gene;Acc:422918]	4	85603433	85607432	-1	protein_coding
ENSGALG00000008963	DBF4	DBF4 zinc finger [Source:NCBI gene;Acc:420536]	2	20828415	20844335	1	protein_coding
ENSGALG00000022720	GJB2	gap junction protein beta 2 [Source:NCBI gene;Acc:428083]	1	180296063	180296740	1	protein_coding
