geneSymbol	Chromosome	GeneStart	GeneEnd	GeneType	GeneName	GeneDescription	logFC_brain	logCPM_brain	Pvalue_brain	adjP_brain	logFC_gonad	logCPM_gonad	Pvalue_gonad	adjP_gonad
ENSCJPG00005015963	1	126195429	126196442	protein_coding	ABHD13	abhydrolase domain containing 13 [Source:NCBI gene;Acc:107307953]	-0.062835863	4.348567291	0.799229969	0.999994659	0.629748252	6.14404839	4.90E-05	0.000103939
ENSCJPG00005015964	1	126200997	126204390	protein_coding	LIG4	DNA ligase 4 [Source:HGNC Symbol;Acc:HGNC:6601]	-0.072999765	4.594689995	0.751920932	0.999994659	-0.664630115	4.697662647	0.001690603	0.002941988
ENSCJPG00005015965	1	126247130	126248376	lncRNA			0.422859518	0.244427594	0.574760918	0.999994659	2.61022011	0.340685425	0.002453753	0.004185903
ENSCJPG00005015967	1	126350085	126515048	protein_coding	FAM155A	family with sequence similarity 155 member A [Source:HGNC Symbol;Acc:HGNC:33877]	-0.312728172	3.709503683	0.395091164	0.999994659	-0.081753171	-0.223313373	0.877971184	0.897438083
ENSCJPG00005015968	1	126802189	126813238	lncRNA			-1.576426032	-2.296861012	0.259682522	0.999994659	2.051454064	-2.834692147	0.199774231	0.243746474
ENSCJPG00005015969	1	126826051	126852883	lncRNA			-0.648776197	-2.061704449	0.571529614	0.999994659	-3.853967423	-2.39158245	0.017103432	0.025478217
ENSCJPG00005015970	1	126946872	126970010	lncRNA			-0.261410605	-2.498515129	0.874827112	0.999994659	1.60553411	-2.539674257	0.237187344	0.282386171
ENSCJPG00005015973	1	126993292	127003820	protein_coding	ARGLU1	arginine and glutamate rich 1 [Source:NCBI gene;Acc:107307959]	-0.029301094	7.916938832	0.880419135	0.999994659	0.712954041	7.256137529	5.15E-07	1.33E-06
ENSCJPG00005015974	1	127011760	127052553	protein_coding	EFNB2	ephrin B2 [Source:NCBI gene;Acc:107307960]	0.101391814	4.682620073	0.800436986	0.999994659	-1.140284326	3.128772671	0.001025588	0.001842092
ENSCJPG00005015983	1	128423286	128439165	protein_coding		protein-lysine methyltransferase METTL21E-like [Source:NCBI gene;Acc:107307964]	-0.778758724	-1.532170499	0.630557828	0.999994659	-1.601750828	-1.746583974	0.076549173	0.101733931
ENSCJPG00005015994	1	128442739	128456201	protein_coding		"ERCC excision repair 5, endonuclease [Source:NCBI gene;Acc:107307962]"	-0.050908146	5.423966005	0.824316204	0.999994659	0.050170127	5.736843312	0.781090305	0.812844694
ENSCJPG00005015995	1	128458045	128469938	protein_coding		"basic, immunoglobulin-like variable motif containing [Source:NCBI gene;Acc:107307963]"	-0.05614362	5.315479637	0.834292242	0.999994659	-2.959334929	4.997421288	8.16E-29	7.42E-28
ENSCJPG00005015996	1	128475239	128484347	protein_coding	POGLUT2	protein O-glucosyltransferase 2 [Source:NCBI gene;Acc:107307965]	0.106667638	4.39708885	0.667979676	0.999994659	-2.689729041	6.805120876	1.58E-26	1.31E-25
ENSCJPG00005015997	1	128486345	128491869	protein_coding		testis expressed 30 [Source:NCBI gene;Acc:107307967]	-0.169016043	1.042802694	0.762864987	0.999994659	1.480229426	3.483433731	0.009637715	0.015018698
ENSCJPG00005015999	1	128500527	128501613	lncRNA			1.788677529	-2.610573804	0.281777045	0.999994659	9.607705946	1.688944475	2.53E-13	1.07E-12
ENSCJPG00005016000	1	128515937	128520533	protein_coding	METTL21C	methyltransferase like 21C [Source:NCBI gene;Acc:107307968]	0.016807852	3.312583731	0.95861851	0.999994659	-0.240165885	3.86674158	0.413684558	0.465313436
ENSCJPG00005016001	1	128521044	128562102	protein_coding	TPP2	tripeptidyl peptidase 2 [Source:NCBI gene;Acc:107307969]	-0.048801204	6.185277786	0.795328478	0.999994659	-0.479682389	6.920086484	0.005922558	0.009528434
ENSCJPG00005016065	1	128771332	128982333	protein_coding	FGF14	fibroblast growth factor 14 [Source:NCBI gene;Acc:107307971]	-0.024698494	4.953559385	0.953501889	0.999994659	2.154168036	0.596343191	5.55E-05	0.000116913
ENSCJPG00005016066	1	128990008	129112022	protein_coding	ITGBL1	integrin subunit beta like 1 [Source:NCBI gene;Acc:107307970]	0.178942114	1.765725124	0.710489139	0.999994659	4.392598239	6.039926764	9.11E-55	1.92E-53
ENSCJPG00005016080	1	129130669	129312021	protein_coding	NALCN	"sodium leak channel, non-selective [Source:NCBI gene;Acc:107307974]"	-0.002141783	7.051957773	0.992116151	0.999994659	2.507870628	5.148042418	6.04E-30	5.78E-29
ENSCJPG00005016093	1	129483066	129529759	protein_coding	TMTC4	transmembrane O-mannosyltransferase targeting cadherins 4 [Source:NCBI gene;Acc:107307976]	-0.425960886	6.133640994	0.079296893	0.999994659	-0.17086222	4.748843763	0.640407279	0.684487353
ENSCJPG00005016104	1	129556923	129557963	protein_coding	GGACT	gamma-glutamylamine cyclotransferase [Source:HGNC Symbol;Acc:HGNC:25100]	-0.181608677	6.893843485	0.501837282	0.999994659	0.146287599	2.231666112	0.694339351	0.735385361
ENSCJPG00005016133	1	129560376	129812272	protein_coding	PCCA	propionyl-CoA carboxylase subunit alpha [Source:NCBI gene;Acc:107307977]	-0.149429442	5.967730779	0.49180176	0.999994659	-1.268023827	5.154225848	2.45E-10	8.37E-10
ENSCJPG00005016134	1	129836626	129840223	protein_coding	ZIC2	Zic family member 2 [Source:NCBI gene;Acc:107307979]	-1.001083965	6.076008562	0.195594288	0.999994659	-0.117418317	-2.458029485	0.926790884	0.939497361
ENSCJPG00005016135	1	129846764	129849492	protein_coding	ZIC5	Zic family member 5 [Source:NCBI gene;Acc:107307993]	-1.537421279	5.446505688	0.146895046	0.999994659	4.576879568	-1.236771575	5.22E-07	1.35E-06
ENSCJPG00005016136	1	129870082	130016099	protein_coding	CLYBL	citrate lyase beta like [Source:NCBI gene;Acc:107307994]	-0.299805421	3.692087583	0.370052896	0.999994659	-0.661258985	2.683050286	0.047170726	0.065402816
ENSCJPG00005016137	1	129922583	129922898	pseudogene			-2.032844832	-2.603147041	0.211711767	0.999994659	3.761211964	-2.526727607	0.01458699	0.022076861
ENSCJPG00005016152	1	130029393	130051850	protein_coding	TM9SF2	transmembrane 9 superfamily member 2 [Source:NCBI gene;Acc:107307982]	-0.013357874	7.563962494	0.944729732	0.999994659	-0.644964986	7.341216119	2.44E-05	5.34E-05
ENSCJPG00005016154	1	130076264	130077319	pseudogene			-0.153412999	-2.507446183	0.91577131	0.999994659	4.326381674	-2.349172482	0.003725525	0.006177012
ENSCJPG00005016155	1	130076480	130077538	lncRNA			-0.259692826	-2.498265994	0.875480394	0.999994659	0.944805624	-1.683637794	0.29255435	0.341930011
ENSCJPG00005016156	1	130082317	130161428	protein_coding	UBAC2	UBA domain containing 2 [Source:NCBI gene;Acc:107307986]	-0.010462072	5.174941943	0.968608067	0.999994659	-0.024187974	4.99470659	0.912622727	0.927433488
ENSCJPG00005016157	1	130119556	130129263	protein_coding	GPR183	G-protein coupled receptor 183-like [Source:NCBI gene;Acc:107307985]	-0.108693719	-0.101651155	0.870106811	0.999994659	-3.045031536	1.301729651	3.23E-07	8.52E-07
ENSCJPG00005016158	1	130154048	130155007	protein_coding	GPR18	G protein-coupled receptor 18 [Source:NCBI gene;Acc:107307989]	0.173411901	-0.003129596	0.760793575	0.999994659	-2.244245236	0.074032248	0.000327804	0.000629541
ENSCJPG00005016181	1	130191627	130297792	protein_coding	DOCK9	dedicator of cytokinesis 9 [Source:NCBI gene;Acc:107307984]	-0.077863005	8.619590559	0.707591283	0.999994659	-0.480899756	5.745029615	0.019481474	0.028799742
ENSCJPG00005019045	1	130309832	130328511	protein_coding	SLC15A1	solute carrier family 15 member 1 [Source:NCBI gene;Acc:107307991]	-1.637342183	0.343359446	0.123625292	0.999994659	-1.746775423	6.330314391	7.83E-05	0.000161989
ENSCJPG00005019393	1	130344662	130351563	protein_coding			0.021512783	1.91782279	0.95234832	0.999994659	0.382464547	0.470352257	0.433928433	0.485951311
ENSCJPG00005019394	1	130372954	130388027	protein_coding	STK24	serine/threonine-protein kinase 24-like [Source:NCBI gene;Acc:107307996]	-0.267579666	4.956053475	0.237356936	0.999994659	0.086057353	3.476577499	0.740290985	0.776778227
ENSCJPG00005019395	1	130377620	130570374	protein_coding	FARP1	"FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:NCBI gene;Acc:107307997]"	0.011491113	7.186822866	0.957618771	0.999994659	1.890160736	7.197057439	2.92E-12	1.15E-11
ENSCJPG00005019396	1	130600520	130632356	protein_coding	IPO5	importin 5 [Source:NCBI gene;Acc:107308019]	-0.10049632	7.740291643	0.591956687	0.999994659	3.023774754	10.6177546	9.95E-96	4.46E-94
ENSCJPG00005019397	1	130632456	130648638	lncRNA			2.556365965	-2.505611833	0.135688232	0.999994659	8.073712418	0.192904138	6.43E-15	3.02E-14
ENSCJPG00005019398	1	130660831	130673015	lncRNA			0.243568164	-1.740133973	0.846211412	0.999994659	9.646443565	1.707973643	1.83E-29	1.71E-28
ENSCJPG00005019399	1	130735416	130737243	lncRNA			1.773152007	-2.612861781	0.283766964	0.999994659	-1.741446579	-0.713128603	0.017368411	0.025856915
ENSCJPG00005019400	1	130743458	130776309	protein_coding	RAP2A	"RAP2A, member of RAS oncogene family [Source:NCBI gene;Acc:107308017]"	-0.021339355	7.465902683	0.952111998	0.999994659	-0.663237512	5.865107412	0.000261998	0.000509216
ENSCJPG00005019402	1	130794249	130857623	protein_coding	MBNL2	muscleblind like splicing regulator 2 [Source:NCBI gene;Acc:107308014]	-0.206600504	7.002989192	0.2990734	0.999994659	-0.461505042	3.649059796	0.131913916	0.167453323
ENSCJPG00005019404	1	130891223	130892365	lncRNA			-0.122886281	1.685427515	0.783505978	0.999994659	0.006854496	-0.903489029	0.991913405	0.993276416
ENSCJPG00005019406	1	130968436	130969479	lncRNA			2.542251602	-2.507863136	0.137129335	0.999994659	4.033449525	-2.441280712	0.006348538	0.010168663
ENSCJPG00005019409	1	131009788	131132493	protein_coding	HS6ST3	heparan sulfate 6-O-sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:19134]	0.170106891	3.547148452	0.734409499	0.999994659	6.817940913	2.542927092	8.55E-27	7.15E-26
ENSCJPG00005019412	1	131263877	131270261	protein_coding			0.353030357	0.837248634	0.550742256	0.999994659	3.76543557	-2.526163688	0.014493033	0.021955403
ENSCJPG00005019413	1	131284706	131350376	protein_coding	UGGT2	UDP-glucose glycoprotein glucosyltransferase 2 [Source:NCBI gene;Acc:107308008]	-0.216383162	4.298132987	0.398583808	0.999994659	-1.290617124	5.548437624	1.04E-10	3.67E-10
ENSCJPG00005019416	1	131357020	131383305	protein_coding	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3 [Source:NCBI gene;Acc:107308010]	-0.113755711	6.616480136	0.593648062	0.999994659	0.165644096	7.299831547	0.402767957	0.454390329
ENSCJPG00005019417	1	131382544	131424694	protein_coding		DAZ interacting zinc finger protein 1 [Source:NCBI gene;Acc:107308021]	0.105406897	5.894564757	0.694483628	0.999994659	2.257382915	7.117733467	2.59E-44	4.12E-43
ENSCJPG00005019418	1	131427707	131480559	protein_coding	CLDN10	claudin 10 [Source:NCBI gene;Acc:107308007]	0.85468641	-0.086302522	0.135592815	0.999994659	2.837420217	0.382442957	0.00101448	0.001822821
ENSCJPG00005019419	1	131510346	131647340	protein_coding	ABCC4	ATP binding cassette subfamily C member 4 [Source:NCBI gene;Acc:107308005]	-0.037916005	5.475185753	0.890931923	0.999994659	-0.149772813	6.588473998	0.442434666	0.493952263
ENSCJPG00005019421	1	131781148	131781990	protein_coding	SOX21	SRY-box transcription factor 21 [Source:NCBI gene;Acc:107308004]	0.206162513	2.867276591	0.571831301	0.999994659	0.819458966	0.041170281	0.133835406	0.169623671
ENSCJPG00005019422	1	131802910	131822747	protein_coding	GPR180	G protein-coupled receptor 180 [Source:NCBI gene;Acc:107308002]	0.029150161	4.160865789	0.906974364	0.999994659	-0.05740679	3.671826293	0.82310126	0.850257852
ENSCJPG00005019423	1	131822591	131833044	protein_coding	TGDS	"TDP-glucose 4,6-dehydratase [Source:NCBI gene;Acc:107308003]"	0.105826912	3.134603143	0.718227461	0.999994659	-1.673955482	4.637729366	1.70E-10	5.88E-10
ENSCJPG00005019425	1	131843836	131879745	protein_coding	DCT	dopachrome tautomerase [Source:NCBI gene;Acc:107308023]	-1.085264345	-2.394244045	0.462948982	0.999994659	2.911447735	-0.747951885	0.000170658	0.000339234
ENSCJPG00005019426	1	131901964	132393685	protein_coding		glypican 6 [Source:NCBI gene;Acc:107308001]	0.38590828	1.862205299	0.378772992	0.999994659	4.063694442	0.889039769	1.33E-07	3.63E-07
ENSCJPG00005019428	1	132411894	132431234	lncRNA			0.531113146	-2.009318482	0.676632113	0.999994659	4.693653661	-2.196680127	0.000594885	0.001104294
ENSCJPG00005019429	1	132658570	132674005	lncRNA			-1.852314471	-2.229447781	0.165688523	0.999994659	-0.197137023	-2.440407616	0.879331854	0.898494502
ENSCJPG00005019430	1	132809997	133237977	protein_coding	GPC5	glypican 5 [Source:NCBI gene;Acc:107308000]	0.148924158	4.695193772	0.648868503	0.999994659	4.253041221	3.649274414	1.91E-11	7.10E-11
ENSCJPG00005019431	1	133244741	133260454	lncRNA			1.395101904	-1.924721778	0.197417409	0.999994659	5.848531664	1.62100194	1.22E-18	7.07E-18
ENSCJPG00005019432	1	133256304	133256381	miRNA	MIR92A1	microRNA 92a-1 [Source:HGNC Symbol;Acc:HGNC:31643]	1.469556857	-2.230923175	0.264849035	0.999994659	3.560783953	-0.42988253	8.53E-08	2.37E-07
ENSCJPG00005019433	1	133256413	133256506	miRNA	MIR19B1	microRNA 19b-1 [Source:HGNC Symbol;Acc:HGNC:31575]	-1.942090527	-2.614728557	0.221888271	0.999994659	7.155844028	-0.61474249	1.27E-11	4.79E-11
ENSCJPG00005019435	1	133256730	133256810	miRNA	MIR19A	microRNA 19a [Source:HGNC Symbol;Acc:HGNC:31574]	-1.942090527	-2.614728557	0.221888271	0.999994659	6.13663887	0.050383954	3.25E-12	1.27E-11
ENSCJPG00005019441	1	134283070	134285934	protein_coding	SLITRK5	SLIT and NTRK like family member 5 [Source:NCBI gene;Acc:107307999]	-0.142997251	3.376697685	0.811638086	0.999994659	0.452224669	0.444196362	0.364542534	0.415927691
ENSCJPG00005019442	1	134633830	134635095	protein_coding			1.209754744	-1.043652613	0.072469862	0.999994659	1.08845107	-1.019646546	0.14165217	0.178764611
ENSCJPG00005019443	1	134992575	134995097	protein_coding	SLITRK6	SLIT and NTRK like family member 6 [Source:NCBI gene;Acc:107308027]	0.154928576	3.22521833	0.765970254	0.999994659	-0.137946839	0.216978422	0.837821565	0.862790512
ENSCJPG00005019444	1	135306796	135344179	lncRNA			-2.010548878	-2.605987706	0.214128489	0.999994659	5.07294866	-0.86382798	1.68E-08	4.98E-08
ENSCJPG00005019445	1	135368428	135519780	lncRNA			0.401178794	-1.874491251	0.718015818	0.999994659	4.533953106	-2.270237904	0.006446281	0.010306329
ENSCJPG00005019446	1	135596703	135616367	lncRNA			0.617187771	2.19129533	0.317739058	0.999994659	4.365603901	-1.436462198	0.004896199	0.007990198
ENSCJPG00005019447	1	135664183	135729036	lncRNA			0.059229973	1.734468979	0.911190935	0.999994659	1.086930822	-2.213735649	0.30691188	0.355811963
ENSCJPG00005019448	1	135729953	135732031	protein_coding	SLITRK1	SLIT and NTRK like family member 1 [Source:NCBI gene;Acc:107308028]	0.165474039	7.261834566	0.554040483	0.999994659	-0.338259509	-1.365696008	0.841508808	0.865775713
ENSCJPG00005019449	1	135876471	135881033	lncRNA			0.759631209	-1.580371117	0.517336644	0.999994659	0.335742527	-2.531385745	0.799496072	0.829260412
ENSCJPG00005019453	1	136867205	136868146	protein_coding	SPRY2	sprouty RTK signaling antagonist 2 [Source:NCBI gene;Acc:107308031]	-0.066679573	4.781908276	0.80431453	0.999994659	-1.03147356	2.29773584	0.004770282	0.007797288
ENSCJPG00005019454	1	136926043	136967471	lncRNA			1.773152007	-2.612861781	0.283766964	0.999994659	4.515833408	-2.271469797	0.001258029	0.002232265
ENSCJPG00005019455	1	137048398	137049411	lncRNA			0.612717864	-2.410029247	0.682853494	0.999994659	1.998368117	-2.141648802	0.082439396	0.108637935
ENSCJPG00005019457	1	137160667	137239226	protein_coding	NDFIP2	Nedd4 family interacting protein 2 [Source:NCBI gene;Acc:107308035]	0.014067849	6.773904316	0.950542969	0.999994659	1.927398969	7.135868472	2.94E-29	2.72E-28
ENSCJPG00005019458	1	137276432	137329795	protein_coding	RBM26	RNA binding motif protein 26 [Source:HGNC Symbol;Acc:HGNC:20327]	-0.074436166	7.179774092	0.71606555	0.999994659	-0.652233303	6.989920658	3.60E-05	7.75E-05
ENSCJPG00005019459	1	137433877	137436107	lncRNA			-0.362391888	-2.12602947	0.775827916	0.999994659	5.46449183	-1.808457799	1.50E-05	3.35E-05
ENSCJPG00005019460	1	137442411	137575498	lncRNA			0.727979164	-1.782505263	0.672104868	0.999994659	2.015308353	-2.446309909	0.112107292	0.144273034
ENSCJPG00005019462	1	137610608	137615133	lncRNA			-0.16893852	-2.509695931	0.909840873	0.999994659	4.327875165	-1.406350113	1.17E-05	2.64E-05
ENSCJPG00005019463	1	137626733	137652268	protein_coding	OBI1	ORC ubiquitin ligase 1 [Source:NCBI gene;Acc:107308041]	-0.019792765	5.720466464	0.941716752	0.999994659	1.606187531	6.042634145	1.17E-17	6.40E-17
ENSCJPG00005019464	1	137660082	137664068	protein_coding	POU4F1	POU class 4 homeobox 1 [Source:NCBI gene;Acc:107308082]	0.841141532	3.844888086	0.441705741	0.999994659	-1.219162091	-0.758400347	0.107522086	0.138799663
ENSCJPG00005019465	1	137668534	137847598	lncRNA			0.386320399	0.59509264	0.780460716	0.999994659	2.86964099	-2.724297354	0.07429251	0.099531684
ENSCJPG00005019466	1	137711566	137732876	lncRNA			1.168553611	-2.00064505	0.462852502	0.999994659	4.669153732	-2.201323151	0.000973403	0.001752946
ENSCJPG00005019467	1	137738344	137751388	lncRNA			1.434761371	-1.553359007	0.289974243	0.999994659	4.033449525	-2.441280712	0.006348538	0.010168663
ENSCJPG00005019468	1	137769208	137787878	lncRNA			1.170078905	-1.446144357	0.378472407	0.999994659	2.844743048	-2.727288146	0.075998149	0.101071492
ENSCJPG00005019471	1	138019880	138033627	protein_coding	EDNRB	endothelin receptor type B [Source:NCBI gene;Acc:107308043]	0.007288264	3.218721457	0.989054191	0.999994659	0.909821082	4.374435846	0.000631721	0.00116861
ENSCJPG00005019472	1	138091714	138135587	protein_coding	SLAIN1	SLAIN motif family member 1 [Source:NCBI gene;Acc:107308044]	0.112238537	6.331352049	0.72338079	0.999994659	2.188720787	2.613039199	1.77E-07	4.78E-07
ENSCJPG00005019473	1	138147359	138193171	protein_coding		sciellin [Source:NCBI gene;Acc:107308045]	0.147836251	1.121008605	0.804055464	0.999994659	-2.745280449	4.569022989	2.62E-12	1.03E-11
ENSCJPG00005019482	1	138281672	138467489	protein_coding	MYCBP2	MYC binding protein 2 [Source:NCBI gene;Acc:107308046]	-0.151413125	8.84002982	0.478812511	0.999994659	-0.163998283	8.087675915	0.218702277	0.262828128
ENSCJPG00005019556	1	138484206	138492086	protein_coding		F-box and leucine rich repeat protein 3 [Source:NCBI gene;Acc:107308052]	-0.242400253	6.115872305	0.243867421	0.999994659	-0.399604962	4.957612497	0.067039051	0.090693788
ENSCJPG00005019557	1	138498659	138510813	protein_coding		CLN5 intracellular trafficking protein [Source:NCBI gene;Acc:107308048]	0.01996298	3.151346643	0.95326434	0.999994659	-0.308537795	3.554703045	0.516760756	0.565117969
ENSCJPG00005019558	1	138511198	138519345	protein_coding		"ES1 protein homolog, mitochondrial-like [Source:NCBI gene;Acc:107308050]"	0.088699249	7.101635123	0.651193824	0.999994659	-0.561818839	5.882652051	0.010692358	0.016545915
ENSCJPG00005019559	1	138520939	138526655	protein_coding	ACOD1	aconitate decarboxylase 1 [Source:NCBI gene;Acc:107308047]	0.395975105	2.59787208	0.495494415	0.999994659	-2.050566147	1.828511753	0.003651378	0.006063237
ENSCJPG00005019560	1	138550778	138551074	protein_coding		feather keratin 1-like [Source:NCBI gene;Acc:107308051]	0.825317058	-2.059629644	0.524206706	0.999994659	-0.48937784	-2.379819704	0.677137691	0.718949241
ENSCJPG00005019561	1	138558686	138559663	protein_coding	KCTD12	potassium channel tetramerization domain containing 12 [Source:NCBI gene;Acc:107308053]	-0.033238554	4.071630067	0.912001482	0.999994659	-1.6265644	0.281576924	0.010190636	0.015826854
ENSCJPG00005019562	1	138602259	138603335	protein_coding			1.771434227	-2.613114289	0.283988831	0.999994659	4.499052852	-0.280166476	3.90E-10	1.31E-09
ENSCJPG00005019563	1	138638881	138652013	lncRNA			3.038362521	-2.410443549	0.073893689	0.999994659	2.874457006	-2.723727685	0.073969061	0.099293431
ENSCJPG00005019564	1	138692337	138704309	lncRNA			1.788677529	-2.610573804	0.281777045	0.999994659	3.76543557	-2.526163688	0.014493033	0.021955403
ENSCJPG00005019565	1	138876936	138971880	protein_coding	LMO7	LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:6646]	0.11094229	7.261601584	0.880152107	0.999994659	-2.490708064	5.207959589	1.34E-21	8.92E-21
ENSCJPG00005019575	1	139008893	139046354	protein_coding	UCHL3	ubiquitin C-terminal hydrolase L3 [Source:NCBI gene;Acc:107308054]	0.066936731	5.280411006	0.759712045	0.999994659	-0.734056882	5.657021196	0.000636468	0.001177165
ENSCJPG00005019576	1	139052449	139056719	protein_coding	COMMD6	COMM domain containing 6 [Source:NCBI gene;Acc:107308055]	-0.033950956	4.933801352	0.883679162	0.999994659	-0.12935465	4.50428368	0.574411783	0.621377082
ENSCJPG00005019577	1	139121083	139169462	protein_coding	TBC1D4	TBC1 domain family member 4 [Source:NCBI gene;Acc:107308056]	-0.373044194	5.800178879	0.170000121	0.999994659	0.052441082	6.912628182	0.922898802	0.936243091
ENSCJPG00005019578	1	139485549	139490998	lncRNA			-0.011826061	0.464504422	0.983246438	0.999994659	5.157145624	0.943741912	3.98E-15	1.89E-14
ENSCJPG00005019579	1	139492335	139499795	lncRNA			0.039827629	-0.272490098	0.959538548	0.999994659	8.120912297	1.911053268	1.71E-23	1.24E-22
ENSCJPG00005019581	1	139614275	139796151	protein_coding	KLF12	Kruppel like factor 12 [Source:NCBI gene;Acc:107308060]	-0.358702051	4.517825256	0.200547183	0.999994659	0.800215088	4.843019808	0.000734674	0.001345083
ENSCJPG00005019583	1	140003733	140022176	protein_coding	KLF5	Kruppel like factor 5 [Source:NCBI gene;Acc:107308063]	0.283063988	2.502101182	0.530142233	0.999994659	-0.026433494	4.72021649	0.899078716	0.916091018
ENSCJPG00005019585	1	140042435	140169571	protein_coding	PIBF1	progesterone immunomodulatory binding factor 1 [Source:NCBI gene;Acc:107308065]	-0.204918775	3.875158238	0.521064487	0.999994659	3.357610316	5.706510337	9.19E-44	1.43E-42
ENSCJPG00005019586	1	140169094	140187878	protein_coding	DIS3	"DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease [Source:NCBI gene;Acc:107308064]"	-0.10543691	6.544704922	0.613180856	0.999994659	3.029933929	7.749248115	3.27E-53	6.63E-52
ENSCJPG00005019587	1	140194147	140209640	protein_coding	BORA	BORA aurora kinase A activator [Source:NCBI gene;Acc:107308066]	0.38855034	1.569402313	0.303540034	0.999994659	-0.030695338	5.634620464	0.858951807	0.880243592
ENSCJPG00005019588	1	140210263	140211720	protein_coding	MZT1	mitotic spindle organizing protein 1 [Source:NCBI gene;Acc:107308067]	0.10260468	4.116814571	0.751287557	0.999994659	-0.445475445	3.848606406	0.092684456	0.120994566
ENSCJPG00005019590	1	140584063	140932887	protein_coding	DACH1	dachshund family transcription factor 1 [Source:NCBI gene;Acc:107308069]	-0.036082969	4.767621789	0.881052838	0.999994659	3.369483455	4.420652299	1.16E-28	1.05E-27
ENSCJPG00005019591	1	140603279	140603381	miRNA			1.771434227	-2.613114289	0.283988831	0.999994659	3.376701456	-2.623192002	0.031888084	0.045587605
ENSCJPG00005019595	1	141201960	141215244	lncRNA			1.788677529	-2.610573804	0.281777045	0.999994659	5.017645993	-0.901860836	1.02E-05	2.32E-05
ENSCJPG00005019596	1	141444412	141464876	lncRNA			-0.105084263	1.483837919	0.864790107	0.999994659	9.760723063	1.822694247	2.00E-28	1.79E-27
ENSCJPG00005019597	1	141464897	141640652	protein_coding	KLHL1	kelch like family member 1 [Source:NCBI gene;Acc:107308072]	-0.184882262	5.21380866	0.710945883	0.999994659	5.875022299	3.418472776	3.32E-33	3.59E-32
ENSCJPG00005019599	1	141725850	141728526	protein_coding		zinc finger protein 830-like [Source:NCBI gene;Acc:107308076]	-0.069709724	0.091852424	0.888710348	0.999994659	0.807104471	0.858138978	0.089532532	0.117262119
ENSCJPG00005019602	1	142513231	142546838	lncRNA			0.360147217	0.202782556	0.644272141	0.999994659	5.826044272	0.972651168	9.26E-17	4.87E-16
ENSCJPG00005019604	1	142549105	142736898	protein_coding	PCDH9	protocadherin 9 [Source:NCBI gene;Acc:107308077]	-0.149597847	5.810809871	0.464499258	0.999994659	-1.346003063	1.392763475	0.003895036	0.006446679
ENSCJPG00005019605	1	143238789	143239121	protein_coding			-0.360103806	2.431729963	0.330846093	0.999994659	-1.131320163	-1.989395134	0.367016425	0.418452272
ENSCJPG00005019607	1	144049684	144050947	protein_coding		uncharacterized LOC107308084 [Source:NCBI gene;Acc:107308084]	-0.336228354	-0.840858776	0.717839982	0.999994659	-0.163738136	0.788405063	0.757961157	0.792680082
ENSCJPG00005019608	1	144513583	144515242	lncRNA			0.467408075	2.225763777	0.5625952	0.999994659	-1.058645728	4.94913846	0.304815213	0.353637155
ENSCJPG00005019609	1	144521591	144523115	lncRNA			0.159317371	-1.068239831	0.808334019	0.999994659	0.439859532	4.287150085	0.585673905	0.632456754
ENSCJPG00005019611	1	144864349	144868926	protein_coding		protocadherin 20 [Source:NCBI gene;Acc:107308089]	0.385526549	4.735071007	0.20901701	0.999994659	3.419043481	2.364594534	3.55E-15	1.69E-14
ENSCJPG00005019613	1	145142039	145238592	protein_coding	TDRD3	tudor domain containing 3 [Source:NCBI gene;Acc:107308090]	-0.02466083	5.393193904	0.905096807	0.999994659	2.422495595	7.590246292	3.02E-57	6.82E-56
ENSCJPG00005019614	1	145239072	145269820	lncRNA			-0.237396871	-2.501082631	0.883778638	0.999994659	5.088789019	-0.178718458	2.68E-10	9.14E-10
ENSCJPG00005019618	1	145340222	145529764	protein_coding	DIAPH3	diaphanous related formin 3 [Source:NCBI gene;Acc:107308095]	-0.220475016	0.510686716	0.698835645	0.999994659	2.652135369	5.55068418	3.03E-19	1.81E-18
ENSCJPG00005019663	1	145985239	145997178	lncRNA			2.542251602	-2.507863136	0.137129335	0.999994659	9.41183158	1.481562265	1.26E-19	7.66E-19
ENSCJPG00005019664	1	146264441	146349466	protein_coding	PCDH17	protocadherin 17 [Source:NCBI gene;Acc:107308096]	0.337445615	6.099419765	0.189315809	0.999994659	0.481700374	1.057105382	0.24123772	0.286728944
ENSCJPG00005019665	1	146851248	146862020	lncRNA			-1.942090527	-2.614728557	0.221888271	0.999994659	5.652365119	-1.697681661	5.80E-06	1.35E-05
ENSCJPG00005019668	1	147503731	147506087	protein_coding			-0.065438497	1.999349211	0.861935194	0.999994659	-1.845421086	0.421992006	0.000205355	0.000403778
ENSCJPG00005019669	1	147504508	147505062	protein_coding			0.047386128	-1.28320544	0.969991039	0.999994659	-2.29657953	-1.733364362	0.020703562	0.030482138
ENSCJPG00005019671	1	147534989	147536039	lncRNA			-1.203092711	-1.906605217	0.23591624	0.999994659	2.046309387	-2.835264171	0.20031994	0.243746474
